time,stock name,stock vwap
05:33:31,AA,131072.0000
05:30:00,,131710.4145
05:33:31,AAC,131072.0000
05:33:31,AAMC,109261.6192
05:33:31,AAN,131072.0000
05:33:31,AAON,136406.6304
05:33:31,AAT,131072.0000
05:33:31,AAWW,136406.6304
05:33:35,AAXN,136406.6304
05:33:31,ABB,131072.0000
05:33:31,ABC,131072.0000
05:33:31,ABDC,136406.6304
05:33:31,ABEOW,139762.0736
05:33:31,ABG,131072.0000
05:33:31,ABIO,139696.5376
05:33:31,ABMD,136406.6304
05:33:31,ABR-A,131072.0000
05:33:35,�qABR-C,53897.6334
05:33:31,A,141139.1520
05:33:31,ABTX,119629.4144
05:33:31,AC,131072.0000
05:33:31,ACAD,136406.6304
05:33:31,ACBI,136406.6304
05:33:31,ACCO,131072.0000
05:33:31,ACES,151204.6592
05:33:31,ACGL,136406.6304
05:33:35,'�ACGLP,53897.6337
05:33:31,ACH,131072.0000
05:33:31,ACHN,136406.6304
